Size,CPU_ms,GPU_Seq_ms,GPU_Naive_ms,GPU_Lib_ms,GPU_Opt_ms
1024,0.022951,1.73261,2.59314,0.0385707,0.188416
2048,0.043865,2.52826,2.11563,0.0344747,0.174763
4096,0.0954387,5.01111,2.11617,0.0344747,0.172032
8192,0.186405,9.98195,2.15011,0.119808,0.179541
16384,0.378808,19.8728,2.13958,0.122197,0.180907
32768,0.759991,32.5117,1.9519,0.0979627,0.177835
65536,1.51235,65.8145,2.00395,0.0996693,0.208896
131072,3.09138,131.531,2.31689,0.291499,0.267947
262144,6.21048,263.264,2.70661,0.297301,0.560128
524288,12.8467,526.237,11.7977,0.308224,0.926037
1048576,25.102,1071.16,11.1474,0.348501,1.3312
2097152,50.0966,2104.19,13.0026,0.429056,2.16269
4194304,99.7451,4361,16.807,0.601771,3.78163
8388608,199.173,9256.04,25.3159,0.966656,9.69967
16777216,399.327,18831.9,39.3809,1.44009,17.9726
33554432,800.262,37729.2,67.4511,2.48013,35.7926
