Size,CPU_ms,GPU_Seq_ms,GPU_Naive_ms,GPU_Lib_ms,GPU_Opt_ms
1024,0.026261,10.0925,14.0764,0.033792,0.217088
2048,0.045118,2.52723,2.0824,0.032768,0.175104
4096,0.093211,5.00736,2.10957,0.033792,0.169984
8192,0.187925,9.9799,2.14422,0.247808,0.1792
16384,0.388804,19.8625,2.12755,0.119808,0.180224
32768,0.769715,41.5498,2.16931,0.11776,0.198656
65536,1.52622,84.6694,2.25379,0.120832,0.233472
131072,3.06135,139.677,2.29616,0.376832,0.270336
262144,6.17874,263.043,2.7624,0.301056,0.561152
524288,12.6643,525.883,10.4567,0.310272,0.92672
1048576,25.404,1051.72,26.8093,0.347136,1.39162
2097152,50.04,2102.88,12.5424,0.428032,2.16678
4194304,100.038,4357.3,16.2278,0.596992,3.79494
8388608,198.965,9263.22,26.487,0.939008,9.17606
16777216,399.437,18859,40.3226,1.45203,17.9261
33554432,799.347,37784.9,67.6463,2.45965,36.1882
